title,director mean, director linear, director quad,writer mean, writer linear, writer quad,actor mean, actor linear, actor quad,rating, action adventure, drama, scifi fantasy, animation,comedy, kids family, art international, mystery suspense,romance, documentary, horror
Alive and Kicking,76.33333333333333,76.33333333333333,76.33333333333333,63.266666666666666,63.266666666666666,63.266666666666666,71.12584635327941,68.69405141020516,69.22318092965352,3,0,1,0,0,1,0,0,0,1,0,0,83
Intimate Relations,14.0,14.0,14.0,14.0,14.0,14.0,25.013298106618603,28.897092436511986,27.33783023806226,3,0,1,0,0,1,0,0,0,0,0,0,14
Irma Vep,76.13636363636364,76.13636363636364,76.13636363636364,77.46153846153847,77.46153846153847,77.46153846153847,85.2249771803536,82.54438539902937,83.32011562310221,5,0,1,0,0,1,0,1,0,0,0,0,91
American Hero,36.0,36.0,36.0,42.285714285714285,42.285714285714285,42.285714285714285,34.277219731045655,35.60200593717206,35.314148254079,5,1,0,1,0,1,0,0,0,0,0,0,30
James and the Giant Peach,93.0,93.0,93.0,55.86424501424501,56.22193732193731,56.29910644910643,62.335589386909454,56.97583191074145,58.340883236326604,1,0,0,0,1,0,1,0,0,0,0,0,92
Beyond Silence,84.33333333333333,84.33333333333333,84.33333333333333,83.66666666666666,83.88888888888889,83.76190476190474,78.13475355054302,78.90960735171261,78.48557622870736,2,0,1,0,0,0,0,1,0,0,0,0,83
Jerry Maguire,53.37777777777778,53.37777777777778,53.37777777777778,52.74545454545454,52.74545454545454,52.74545454545454,66.54682940289987,63.43098210224344,64.42885128946206,3,0,1,0,0,1,0,0,0,1,0,0,83
Jingle All the Way,19.755555555555556,19.755555555555556,19.755555555555556,16.0,16.0,16.0,27.030920500590938,30.54178381432721,29.237897517130218,1,0,0,0,0,1,1,0,0,0,0,0,16
Johns,20.0,20.0,20.0,73.2,73.2,73.2,46.5570833366926,46.24589784716508,46.463188229945516,3,0,1,0,0,0,0,1,0,0,0,0,54
Jude,66.58769230769231,66.58769230769231,66.58769230769231,44.06060606060606,44.06060606060606,44.06060606060606,61.460753283408366,60.81875023449331,61.450778326216344,3,0,1,0,0,0,0,0,0,1,0,0,81
The Dress,73.5,73.5,73.5,73.5,73.5,73.5,71.21752136752136,69.39004884004883,69.7763592616534,5,0,0,0,0,1,0,1,0,0,0,0,80
Kansas City,71.73645320197045,71.73645320197045,71.73645320197045,62.91025641025641,63.71794871794871,63.256410256410255,62.76009308685314,61.70995328172648,62.105970220297614,3,0,1,0,0,0,0,0,1,0,0,0,63
Drifting Clouds,85.0,85.0,85.0,90.71428571428571,90.71428571428571,90.71428571428571,94.67347619047618,92.50239775910364,93.30533361485301,5,0,1,0,0,1,0,1,0,0,0,0,100
Prisoner of the Mountains,37.333333333333336,37.333333333333336,37.333333333333336,82.8888888888889,85.44444444444444,84.51515151515152,82.48611111111111,80.0576923076923,81.06069285324605,3,0,1,0,0,0,0,1,0,0,0,0,88
Kazaam,28.866666666666667,28.866666666666667,28.866666666666667,7.666666666666667,7.111111111111112,7.428571428571429,23.246781219736746,25.35075884580906,24.540197512206834,1,0,0,1,0,1,1,0,0,0,0,0,6
Keys to Tulsa,13.0,13.0,13.0,38.1,38.1,38.1,37.33380848395028,45.143777215836025,43.59427412249129,3,0,1,0,0,0,0,0,1,0,0,0,13
Kids Return,65.98484848484848,65.98484848484848,65.98484848484848,70.77777777777777,70.77777777777777,70.77777777777777,79.83079140747209,75.51475703917929,76.1601136666788,5,0,1,0,0,1,0,1,0,0,0,0,100
Kissed,42.666666666666664,42.666666666666664,42.666666666666664,70.0,70.0,70.0,56.11350889254115,55.090496802558505,55.54571330074062,3,0,1,0,0,0,0,0,0,0,0,0,70
Kolya,98.66666666666667,98.66666666666667,98.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,89.59147869674185,90.95852130325814,90.97351879699247,2,0,1,0,0,1,0,1,0,0,0,0,96
Larger Than Life,40.333333333333336,40.333333333333336,40.333333333333336,14.555555555555557,14.555555555555557,14.878787878787879,47.58496839723947,48.68674468636619,48.188737740084235,1,0,0,0,0,1,1,0,0,0,0,0,11
Last Man Standing,49.06060606060606,49.06060606060606,49.06060606060606,56.78421052631579,56.78421052631579,56.78421052631579,44.91772971309912,47.247756563540676,46.58143895922421,3,1,1,0,0,0,0,0,1,0,0,0,37
Late Bloomers,32.66666666666667,36.88888888888889,34.476190476190474,32.66666666666667,28.444444444444446,30.857142857142858,30.458333333333336,27.12037037037037,28.803763440860216,5,0,0,0,0,1,0,0,0,1,0,0,20
Level Five,97.69444444444444,97.69444444444444,97.69444444444444,97.6,97.6,97.6,95.98809523809524,93.12244897959184,94.61756876663708,5,0,1,0,0,0,0,0,0,1,1,0,100
Life,67.89285714285714,67.89285714285714,67.89285714285714,41.804761904761904,41.695238095238096,41.7578231292517,48.25237809100298,47.51653503046092,48.00124547809047,3,0,1,0,0,1,0,0,0,0,0,0,50
Looking for Richard,80.33333333333333,80.33333333333333,80.33333333333333,81.0,81.0,81.0,63.17823534583274,61.439663230138095,62.09217019022601,2,0,1,0,0,0,0,0,0,0,1,0,81
Lost Highway,78.45454545454545,78.45454545454545,78.45454545454545,62.33333333333333,66.0,63.904761904761905,50.475547120294735,50.07994288511142,49.936499285897625,3,0,1,0,0,0,0,0,1,0,0,1,60
Love Serenade,74.66666666666667,74.66666666666667,74.66666666666667,74.66666666666667,74.66666666666667,74.66666666666667,71.45231481481481,65.03744855967078,66.78705694942255,3,0,1,1,0,1,0,1,0,1,0,0,90
Love and Other Catastrophes,47.0,47.0,47.0,0,0,0,48.12801213818861,49.60529318394025,48.92305272287626,3,0,1,0,0,1,0,0,0,0,0,0,47
Mad Dog Time,12.333333333333334,12.333333333333334,12.333333333333334,10.0,10.0,10.0,45.48246584200589,45.99473653656431,45.62657519488839,3,0,1,0,0,1,0,0,0,0,0,0,17
Mary Reilly,68.98461538461538,68.98461538461538,68.98461538461538,51.75238095238095,51.75238095238095,51.75238095238095,47.81934532035782,53.436385036858084,52.239593303660975,3,0,1,0,0,0,0,0,1,0,0,1,26
Maximum Risk,43.607142857142854,43.607142857142854,43.607142857142854,34.08730158730159,32.78174603174603,32.553030303030305,36.06249207386896,38.320601134727205,37.64938624613104,3,1,0,0,0,0,0,0,0,0,0,0,30
Michael,81.0,81.0,81.0,81.0,81.0,81.0,73.10370370370372,71.49111111111111,71.74990476190476,5,0,1,0,0,0,0,0,0,0,0,0,81
Michael Collins,63.53333333333333,63.53333333333333,63.53333333333333,64.56410256410257,64.56410256410257,64.56410256410257,64.36699798453657,61.758629499962154,62.640560831439764,3,0,1,0,0,0,0,0,1,0,0,0,76
Microcosmos,90.77777777777779,90.77777777777777,91.06060606060606,0,0,0,86.56190476190477,89.16507936507936,89.01002506265665,0,0,0,0,0,0,0,0,0,0,1,0,97
My Man,67.25,67.25,67.25,69.66666666666667,69.66666666666667,69.66666666666667,61.26662889709108,63.81411438206701,63.337315206773184,5,0,1,0,0,1,0,1,0,0,0,0,33
Mondo,74.64285714285714,74.64285714285714,74.64285714285714,0,0,0,81.55555555555556,82.5037037037037,82.13460317460317,5,0,1,0,0,0,0,1,0,0,0,0,80
Mother Night,56.06666666666667,56.06666666666667,56.06666666666667,0,0,0,50.76952751490146,52.6694734773704,52.388034006819126,3,1,1,0,0,0,0,0,1,0,0,0,62
Mulholland Falls,50.111111111111114,50.111111111111114,50.111111111111114,46.85,47.46666666666667,47.114285714285714,43.344797918934034,44.15502578501566,43.76312412516929,3,0,1,0,0,0,0,0,1,0,0,0,30
Muppet Treasure Island,70.0,70.0,70.0,70.06666666666666,70.04444444444444,70.05714285714286,65.07210431298172,60.47327037644526,62.333513251330324,0,0,0,0,0,1,1,0,0,0,0,0,70
My Fellow Americans,38.77777777777778,38.77777777777778,38.77777777777778,44.32121212121212,45.66060606060606,45.17355371900826,47.125893854402534,48.81407854353116,48.19215817800464,2,0,0,0,0,1,0,0,0,0,0,0,47
Normal Life,62.583333333333336,62.583333333333336,62.583333333333336,70.0,70.0,70.0,58.58870212708421,54.77554432906414,55.8990742527442,3,0,1,0,0,0,0,0,1,0,0,0,70
A Moment of Innocence,87.95238095238095,87.95238095238095,87.95238095238095,87.10714285714286,87.10714285714286,87.10714285714286,88.53632478632478,88.47008547008548,88.44704570791527,5,0,1,0,0,1,0,1,0,0,0,0,89
Nenette and Boni,80.5909090909091,80.5909090909091,80.5909090909091,79.9060606060606,80.98585858585858,80.36883116883116,77.16192374385652,74.08238669826905,75.0787042481328,5,0,1,0,0,0,0,1,0,0,0,0,83
Original Gangstas,55.833333333333336,55.833333333333336,55.833333333333336,53.0,53.0,53.0,51.4539496256084,50.97223178361042,51.00494918060989,3,1,1,0,0,0,0,0,1,0,0,0,53
Palookaville,0,0,0,64.0,64.0,64.0,57.676961212426036,55.97992085070043,56.35809485320629,3,0,1,0,0,1,0,0,0,0,0,0,64
Persons Unknown,40.785714285714285,40.785714285714285,40.785714285714285,0,0,0,51.17604052661951,49.129477243395726,49.7932346370383,3,1,0,0,0,0,0,0,1,0,0,0,20
Phenomenon,44.70909090909091,44.70909090909091,44.70909090909091,37.535714285714285,37.535714285714285,37.535714285714285,50.17760320479349,51.00120227213123,50.871489615814596,1,0,1,1,0,0,0,0,0,0,0,0,50
Picnic,60.142857142857146,60.142857142857146,60.142857142857146,70.61111111111111,70.61111111111111,70.61111111111111,63.43286506762642,66.21522825356443,65.57716471681347,1,0,1,0,0,0,0,0,0,1,0,0,57
The Pompatus of Love,39.4,39.4,39.4,34.333333333333336,34.333333333333336,34.333333333333336,42.170556575461276,40.894243414079114,41.20762567730857,3,0,0,0,0,1,0,0,0,0,0,0,17
Ponette,48.6,48.6,48.6,70.33333333333333,70.33333333333333,70.33333333333333,84.32424242424241,81.41958041958041,82.50946700358466,5,0,1,0,0,1,0,1,0,0,0,0,91
Portraits chinois,69.0,69.0,69.0,69.0,69.0,69.0,69.54725853373894,70.05381727319626,69.96326918002407,3,0,1,0,0,1,0,1,0,0,0,0,69
Deep Crimson,72.66666666666667,72.66666666666667,72.66666666666667,78.0,78.0,78.0,66.18506838632888,67.07117286697118,66.40749768832183,5,0,1,0,0,1,0,0,0,0,0,0,78
La Promesse,85.81150793650794,85.51719576719576,85.68537414965986,85.81150793650794,86.1058201058201,85.93764172335601,93.27231653557375,92.70862992950973,92.97165656193845,5,0,1,0,0,0,0,1,0,0,0,0,95
Pusher,68.16666666666666,67.44444444444444,67.85714285714286,74.55555555555556,72.07407407407408,73.4920634920635,79.06794023877357,77.10182948516281,77.80122992430684,5,0,1,0,0,0,0,1,0,0,0,0,82
The Quiet Room,85.76190476190476,85.76190476190476,85.76190476190476,89.7,89.7,89.7,75.06060606060606,75.93400673400673,75.79486291486292,1,0,1,0,0,0,0,0,0,0,0,0,80
Race the Sun,18.333333333333332,18.333333333333332,18.333333333333332,30.833333333333332,30.833333333333332,30.833333333333332,39.11039451766526,42.927537233547156,41.93816936529492,1,0,1,0,0,1,1,0,0,0,0,0,22
Retroactive,35.166666666666664,35.166666666666664,35.166666666666664,46.77777777777777,46.77777777777777,45.848484848484844,51.23566231841774,54.20692880906504,53.50311997703819,3,1,0,1,0,0,0,0,1,0,0,0,57
Ridicule,68.11111111111111,68.11111111111111,68.11111111111111,81.55555555555556,81.55555555555556,81.87878787878788,75.39951533226198,74.52464066479425,74.88142148444668,3,0,1,0,0,1,0,1,0,1,0,0,78
Ripe,0.0,0.0,0.0,8.666666666666666,8.666666666666666,8.666666666666666,22.081483289437838,28.430701906788862,26.48324679273296,3,0,1,0,0,0,0,0,0,0,0,0,0
Schizopolis,75.50322580645161,75.50322580645161,75.50322580645161,60.28888888888889,60.28888888888889,60.28888888888889,54.427642289380074,58.31267838380637,57.57942498172372,5,0,0,0,0,1,0,1,0,0,0,0,59
Set It Off,55.111111111111114,55.111111111111114,55.111111111111114,33.8,32.51111111111111,33.24761904761905,53.48230103254342,53.27319445498205,53.86795708857081,3,1,1,0,0,0,0,0,1,0,0,0,63
Shall We Dance?,38.888888888888886,38.888888888888886,38.888888888888886,55.05555555555556,53.074074074074076,54.20634920634921,47.430874703248286,48.252085301431975,47.91870751012286,2,0,1,0,0,1,0,0,0,1,0,0,46
Shine,52.022222222222226,52.022222222222226,52.022222222222226,58.5,59.0,58.714285714285715,72.17049730865702,69.76080060469972,70.90202640193388,2,0,1,0,0,0,0,0,0,0,0,0,91
Sling Blade,55.4,55.4,55.4,66.38095238095238,66.38095238095238,66.38095238095238,76.66898635488691,69.35059746149662,71.71074431971402,3,0,1,0,0,0,0,0,0,0,0,0,96
Space Jam,35.333333333333336,35.333333333333336,35.333333333333336,46.13611111111112,46.79666666666667,46.214444444444446,45.02948697423707,47.044643027288366,46.67230107496089,1,0,0,0,0,1,1,0,0,0,0,0,38
Conspirators of Pleasure,81.38095238095238,81.38095238095238,81.38095238095238,85.5,85.5,85.5,82.25747126436782,82.03363984674331,82.6061269365317,5,0,0,0,1,1,0,1,0,0,0,0,86
The Spitfire Grill,33.0,33.0,33.0,33.0,33.0,33.0,41.42225214436044,44.39851741151999,43.183205077774616,2,0,1,0,0,0,0,0,0,0,0,0,33
Spy Hard,8.0,8.0,8.0,6.3374999999999995,7.054444444444444,6.788444444444444,29.414013406575037,33.18223210867971,31.854159848898156,2,1,0,0,0,1,0,0,0,0,0,0,8
Stealing Beauty,71.33333333333333,71.33333333333333,71.33333333333333,51.287499999999994,56.49444444444444,53.51904761904762,54.246175388999724,56.03937702631056,55.66372890949486,3,0,1,0,0,0,0,0,0,1,0,0,53
Sudden Manhattan,70.5,70.5,70.5,51.1,51.1,51.1,61.556323915850236,60.566347664031866,60.929145639102614,5,0,0,0,0,1,0,1,1,0,0,0,67
The Sunchaser,40.333333333333336,40.333333333333336,40.333333333333336,39.666666666666664,39.666666666666664,39.666666666666664,43.717503133185346,43.764493008058686,43.58737330142422,3,1,1,0,0,0,0,0,1,0,0,0,17
Sunset Park,57.833333333333336,57.833333333333336,57.833333333333336,30.25,36.0,32.714285714285715,39.18519122110062,40.755496612053406,40.15039631656542,3,0,1,0,0,1,0,0,0,0,0,0,13
Surviving Picasso,58.44444444444444,58.44444444444444,58.44444444444444,62.39705882352941,62.39705882352941,62.39705882352941,52.24917321230421,50.60685636425756,51.01877983841671,3,0,1,0,0,0,0,0,0,1,0,0,33
Swingers,72.0,72.0,72.0,55.95238095238095,55.95238095238095,55.95238095238095,72.396988752948,66.3681398978823,68.49892270455746,3,0,1,0,0,1,0,0,0,0,0,0,87
Tales of Erotica,55.36113178569319,53.152064504696085,53.79392734361155,58.46681096681097,61.42784992784992,60.513077715934855,56.63732177379592,55.03108595647964,55.96555872152979,3,0,1,0,0,1,0,0,0,0,0,0,60
Talk to Me,62.1,62.1,62.1,61.53333333333333,61.355555555555554,61.45714285714286,61.7085600808207,61.77765790014617,61.744345734942264,3,1,1,0,0,1,0,0,0,0,0,0,82
Tangled,91.25,90.5,90.92857142857143,74.73333333333333,79.4888888888889,76.77142857142857,65.18400091205376,63.19169757783035,64.1560853136257,1,0,0,0,1,1,1,0,0,0,0,0,89
Taxi,39.654545454545456,39.654545454545456,39.654545454545456,35.09871794871795,32.976068376068376,34.18901098901099,36.02833188056449,38.70766713351094,37.898577345793036,2,1,0,0,0,1,0,0,0,0,0,0,10
Thesis,72.73333333333333,72.73333333333333,72.73333333333333,60.142857142857146,56.111111111111114,58.41496598639456,67.95638974888202,64.35345631234951,65.66468995528034,3,0,0,0,0,0,0,1,1,0,0,0,71
Think of Me,82.0,82.0,82.0,82.0,82.0,82.0,62.94249279833577,62.514742122296894,62.378444903995344,5,0,1,0,0,0,0,0,0,0,0,0,82
Thinner,38.095238095238095,38.095238095238095,38.095238095238095,0,0,0,38.77171538141061,40.68935925463192,40.200874122673426,3,0,0,0,0,0,0,0,0,0,0,1,15
Tin Cup,38.19444444444444,38.19444444444444,38.19444444444444,57.65934065934066,53.879120879120876,56.0392464678179,63.01382431267947,60.01880838836143,61.090507306022644,3,0,1,0,0,1,0,0,0,1,0,0,69
To Gillian on Her 37th Birthday,41.13333333333333,41.13333333333333,41.13333333333333,27.133333333333333,27.133333333333333,27.133333333333333,34.6875975612054,41.49894767200765,39.06865696026846,2,0,1,0,0,1,0,0,0,1,0,0,14
Trainspotting,77.87179487179488,77.87179487179488,77.87179487179488,54.82222222222222,54.82222222222222,54.82222222222222,66.25380363965803,62.55898433670274,63.744582937560786,3,0,1,0,0,1,0,0,0,0,0,0,90
Trees Lounge,65.3,65.3,65.3,65.0,65.0,65.0,60.5713037421584,58.0476392297681,58.67253846652447,3,0,1,0,0,1,0,1,1,0,0,0,81
The Truce,73.2,73.2,73.2,77.14814814814815,74.47222222222223,75.5530303030303,54.96993545626799,55.940338141820014,55.619336057912086,3,0,1,0,0,0,0,1,0,0,0,0,53
The Trigger Effect,54.095238095238095,54.095238095238095,54.095238095238095,58.92877492877493,58.92877492877493,58.92877492877493,60.779341837148756,58.324803267225164,58.95319964730215,3,1,1,0,0,0,0,0,1,0,0,0,75
Three Lives and Only One Death,55.50909090909091,55.50909090909091,55.50909090909091,68.66785714285714,67.98492063492064,68.3751700680272,64.29548511329364,65.99325922423536,65.62696678708143,5,0,0,0,0,1,0,1,0,0,0,0,56
Twisted,67.91111111111111,67.91111111111111,67.91111111111111,9.0,9.0,9.0,24.959159354175238,33.71950933069029,31.583586155625756,3,0,1,0,0,0,0,0,1,0,0,0,1
Two Deaths,56.38461538461539,56.38461538461539,56.38461538461539,59.111111111111114,59.111111111111114,59.111111111111114,48.67490476651352,50.8440274723388,50.10468766390457,3,0,1,0,0,0,0,0,1,0,0,0,38
Two Much,66.28571428571429,66.28571428571429,66.28571428571429,64.45,60.0,62.54285714285714,34.23670574573451,41.08296306967659,39.252603183370034,2,0,0,0,0,1,0,1,0,1,0,0,14
Two If by Sea,58.333333333333336,58.333333333333336,58.333333333333336,28.555555555555554,19.777777777777775,22.96969696969697,37.80987765845769,40.91140925298133,39.72778829911798,3,0,1,0,0,1,0,0,1,0,0,0,11
A Self-Made Hero,87.57142857142857,87.57142857142857,87.57142857142857,83.93055555555556,83.50925925925925,83.75,68.24396674242428,68.32242180296704,68.3015837768354,5,0,1,0,0,1,0,1,1,0,0,0,67
Unforgettable,62.107142857142854,62.107142857142854,62.107142857142854,21.0,21.0,21.0,30.390101865086482,32.78817197918749,31.77156268185392,3,1,1,1,0,0,0,0,1,0,0,0,21
Unhook the Stars,43.333333333333336,43.333333333333336,43.333333333333336,67.25,62.666666666666664,65.28571428571429,65.58707507366505,59.93809267270569,61.192446080915595,3,0,1,0,0,1,0,1,0,0,0,0,81
Waiting for Guffman,60.80555555555556,60.80555555555556,60.80555555555556,78.27619047619048,74.68095238095238,76.13896103896103,59.87396165779125,57.11050000555618,57.68081831732263,3,0,0,0,0,1,0,0,0,0,0,0,91
Walking and Talking,86.26666666666667,86.26666666666667,86.26666666666667,70.47619047619048,70.47619047619048,70.47619047619048,64.02196821481705,61.14150427114187,62.02484471219172,3,0,1,0,0,1,0,0,0,1,0,0,87
The Watermelon Woman,36.0,36.0,36.0,100.0,100.0,100.0,83.87260348583878,76.21349673202614,79.15520168067226,5,0,1,0,0,1,0,0,0,0,0,0,100
Wedding Bell Blues,19.333333333333332,19.333333333333332,19.333333333333332,30.666666666666668,30.666666666666668,30.666666666666668,43.24713097435996,43.743537897811336,43.62592832186336,3,0,0,0,0,1,0,0,0,0,0,0,40
What Is It?,72.0,72.0,72.0,56.0,56.0,56.0,55.43493990552815,56.04387902034961,56.23497465816795,5,0,1,0,0,0,0,1,0,0,0,0,56
When We Were Kings,55.833333333333336,55.833333333333336,55.833333333333336,0,0,0,80.60613927982348,78.35273354325987,79.43393770139635,1,0,0,0,0,0,0,0,0,0,1,0,98
White Squall,61.404761904761905,61.404761904761905,61.404761904761905,48.0,48.0,48.0,55.827086261371036,53.940335048778,54.53096477403511,2,1,1,0,0,0,0,0,0,0,0,0,60
Illtown,47.266666666666666,47.266666666666666,47.266666666666666,63.0,63.0,63.0,54.835716795987,55.051255688298504,54.936850343038195,3,0,1,0,0,0,0,0,0,0,0,0,50
Dead Man on Campus,15.0,15.0,15.0,29.424242424242426,28.97979797979798,30.371900826446282,33.33222378877724,29.4391563561997,30.073889755511452,3,0,1,0,0,1,0,0,0,0,0,0,15
One Eight Seven,47.904761904761905,47.904761904761905,47.904761904761905,23.333333333333332,23.333333333333332,23.333333333333332,40.900654940496885,41.64553434842145,41.219159777300035,3,0,1,0,0,0,0,0,0,0,0,0,30
4 Little Girls,72.66129032258064,72.66129032258064,72.66129032258064,0,0,0,95.08073783550758,97.55199680749493,97.22028290856159,5,0,0,0,0,0,0,0,0,0,1,0,100
8 Heads in a Duffel Bag,11.0,11.0,11.0,25.61111111111111,25.61111111111111,25.61111111111111,30.067525759272186,32.751412542156295,31.864458751129913,3,0,0,0,0,1,0,0,0,0,0,0,11
Absolute Power,67.5,67.5,67.5,46.96560846560847,46.96560846560847,46.96560846560847,51.69210848488624,54.465084093708775,53.491790219120176,3,1,0,0,0,0,0,0,1,0,0,0,47
Addicted to Love,36.107142857142854,36.107142857142854,36.107142857142854,0,0,0,56.03215006766882,55.89504586085437,56.3184571892022,3,0,0,0,0,1,0,0,0,0,0,0,55
Affliction,50.82380952380952,50.82380952380952,50.82380952380952,63.02,63.02,63.02,50.924258054229085,52.72001438563343,52.25656034046031,3,0,1,0,0,0,0,0,1,0,0,0,88
Afterglow,59.27619047619048,59.27619047619048,59.27619047619048,55.31868131868132,55.31868131868132,55.31868131868132,55.194218656061274,54.28398970844221,53.937223943221206,3,0,1,0,0,1,0,1,0,1,0,0,75
Air Bud,64.39285714285714,64.39285714285714,64.39285714285714,37.0,39.666666666666664,38.142857142857146,43.660369751889164,44.17626876289864,44.244811859457684,1,0,0,0,0,1,1,0,0,0,0,0,45
Air Force One,57.0,57.0,57.0,30.166666666666668,30.166666666666668,30.166666666666668,59.319523905066475,57.55255554568988,57.816841078070766,3,1,1,0,0,0,0,0,1,0,0,0,78
All Over Me,85.0,85.0,85.0,85.0,85.0,85.0,59.37859377708018,57.853313828239415,59.113899652834746,3,0,1,0,0,0,0,0,0,1,0,0,85
All Stars,56.0,56.0,56.0,55.0,55.0,55.0,54.23978841671149,52.931340454417374,53.16536615722137,1,0,0,0,0,1,0,1,0,0,0,0,56
Glitter,30.5,30.5,30.5,29.933333333333334,29.933333333333334,29.933333333333334,24.735900572727704,27.200152111909816,25.966014331158878,2,0,1,0,0,0,0,0,0,0,0,0,7
Amistad,80.17142857142858,80.17142857142858,80.17142857142858,54.904761904761905,54.904761904761905,54.904761904761905,65.69573064329603,63.10201726000246,63.87061698624716,3,0,1,0,0,0,0,0,1,0,0,0,76
Anaconda,28.833333333333332,28.833333333333332,28.833333333333332,39.78703703703704,35.31481481481482,37.77525252525252,46.180479597844155,45.39258355903615,45.71217632849756,2,1,0,0,0,0,0,0,1,0,0,1,39
Anthem,67.66666666666667,63.555555555555564,65.90476190476191,80.0,80.0,80.0,75.5029537323489,75.53627881320129,75.44977157502983,5,0,1,0,0,0,0,0,0,0,1,0,80
The Apostle,39.0,39.0,39.0,39.0,39.0,39.0,63.3394488915308,57.10833517866551,58.51980976381536,2,0,1,0,0,0,0,0,0,0,0,0,89
Apt Pupil,66.57575757575758,66.57575757575758,66.57575757575758,23.0,23.0,23.0,52.33956689093316,51.83660400575631,51.951279538520375,3,0,1,0,0,0,0,0,1,0,0,1,53
Days of Grace,65.0,65.0,65.0,65.0,65.0,65.0,65.35240962740963,65.32262523800985,65.21729923104719,5,0,0,0,0,0,0,0,1,0,0,0,65
Babel,81.14285714285714,81.14285714285714,81.14285714285714,60.616666666666674,66.46666666666667,63.12380952380953,66.6518497550109,65.85922714579166,66.07976966001401,3,0,1,0,0,0,0,0,0,0,0,0,69
Baby Geniuses,16.696969696969695,16.696969696969695,16.696969696969695,12.4,15.866666666666667,13.885714285714286,23.78679700309466,25.140943195280492,24.47581109399191,1,0,1,0,0,1,1,0,0,0,0,0,2
Bandits,54.566153846153846,54.566153846153846,54.566153846153846,38.1,38.1,38.1,54.94256465764406,54.224251429022374,54.38946489731612,2,0,1,0,0,1,0,0,0,0,0,0,64
Barbara,84.33333333333333,84.33333333333333,84.33333333333333,84.0,84.0,84.0,70.47483546264034,69.46304684475416,69.15115088163867,5,0,0,0,0,0,0,1,0,0,1,0,82
Basil,14.666666666666666,14.666666666666666,14.666666666666666,0.0,0.0,0.0,31.272258037026774,32.28872697959828,30.456080549369975,3,0,1,0,0,0,0,1,0,0,0,0,0
Bean,36.53333333333333,36.53333333333333,36.53333333333333,51.7020202020202,52.813131313131315,52.887052341597794,50.457572023870696,49.86829565908511,50.15055532172125,2,0,0,0,0,1,0,0,0,0,0,0,42
Best Men,27.142857142857142,27.142857142857142,27.142857142857142,13.0,13.0,13.0,37.52984954044697,39.23338348449637,38.98471980965301,3,0,1,0,0,1,0,0,1,0,0,0,13
Beverly Hills Ninja,16.97142857142857,16.97142857142857,16.97142857142857,14.0,14.0,13.999999999999998,28.38963983907265,29.81519758584708,29.295560020081908,2,1,0,0,0,1,0,0,0,0,0,0,14
Big Business,53.72222222222222,53.72222222222222,53.72222222222222,45.77777777777778,45.77777777777778,46.303030303030305,48.49550093854384,48.671728269868446,48.51394223130969,1,0,0,0,0,1,0,0,0,0,0,0,40
The Blackout,60.35263157894737,60.35263157894737,60.35263157894737,26.36287878787879,37.5339393939394,32.81515151515151,35.15875153578121,40.38049429652836,38.89372364356829,3,0,1,0,0,0,0,0,1,0,0,0,0
Blues Brothers 2000,47.47894736842105,47.47894736842105,47.47894736842105,47.37373737373737,49.46127946127947,48.268398268398265,51.505869612411594,53.06831861656031,52.8590404873406,2,0,0,0,0,1,0,0,0,0,0,0,46
Boogie Nights,86.84444444444445,86.84444444444445,86.84444444444445,88.77777777777777,87.37037037037037,88.17460317460316,69.76339726933736,67.31426796723854,68.52842174627015,3,0,1,0,0,1,0,0,0,0,0,0,93
Booty Call,23.666666666666668,23.666666666666668,23.666666666666668,29.222222222222218,31.333333333333332,30.181818181818176,38.17989981003612,39.33487744958278,39.12135729314722,3,0,0,0,0,1,0,0,0,0,0,0,25
The Borrowers,92.0,92.0,92.0,90.86363636363636,90.86363636363636,90.86363636363636,82.39632034632035,84.4774273345702,83.60146809712028,0,0,0,1,1,0,0,1,0,0,0,0,94
On Guard,89.16666666666667,89.16666666666667,89.16666666666667,77.6025641025641,73.82051282051282,75.44405594405593,77.41202008144487,73.75017904758631,74.8697038245708,5,1,1,0,0,0,0,1,0,0,0,0,87
The Boxer,43.02777777777778,43.02777777777778,43.02777777777778,66.625,67.47222222222223,66.98809523809524,69.6534851262932,69.8865896699976,69.84858680675045,3,0,1,0,0,0,0,0,0,0,0,0,80
Boys Life 2,64.73333333333333,60.488888888888894,61.53684210526316,72.66666666666667,71.02222222222223,71.36842105263158,65.24023383858639,64.23222963272828,64.95418061312948,5,0,1,0,0,1,0,0,0,0,0,0,80
Southie,38.0,38.0,38.0,38.0,38.0,37.99999999999999,49.02464801448682,48.22967362553865,48.86998990966098,3,1,1,0,0,0,0,0,1,0,0,0,38
The Brave,78.16666666666666,78.22222222222221,78.19047619047618,73.56666666666668,78.82666666666668,76.71733333333333,60.77773381204465,61.658607216069775,61.17718945276949,1,0,0,0,1,1,1,0,0,0,0,0,78
Broadway Damage,21.0,21.0,21.0,29.0,29.0,29.0,34.72494172494173,33.68085537650755,34.26435383706748,5,0,0,0,0,1,0,1,0,0,0,0,29
Junk Mail,93.0,93.0,93.0,0,0,0,91.66666666666667,92.46666666666667,92.25333333333334,5,0,0,0,0,1,0,1,1,0,0,0,93
